station,movement,month,count_traffic
Baclaran,Entry,january,1097101
Baclaran,Exit,january,1002761
EDSA,Entry,january,1845206
EDSA,Exit,january,1971205
Libertad,Entry,january,421298
Libertad,Exit,january,463554
Gil Puyat,Entry,january,1172273
Gil Puyat,Exit,january,1417072
Vito Cruz,Entry,january,542603
Vito Cruz,Exit,january,556432
Quirino,Entry,january,429389
Quirino,Exit,january,433925
Pedro Gil,Entry,january,807697
Pedro Gil,Exit,january,822383
United Nation,Entry,january,991886
United Nation,Exit,january,1089610
Central,Entry,january,609475
Central,Exit,january,691685
Carriedo,Entry,january,1048806
Carriedo,Exit,january,1196873
Doroteo Jose,Entry,january,944395
Doroteo Jose,Exit,january,900672
Bambang,Entry,january,237392
Bambang,Exit,january,190858
Tayuman,Entry,january,585329
Tayuman,Exit,january,490595
Blumentritt,Entry,january,429698
Blumentritt,Exit,january,388255
Abad Santos,Entry,january,262910
Abad Santos,Exit,january,177690
R. Papa,Entry,january,244052
R. Papa,Exit,january,278666
5th Avenue,Entry,january,598268
5th Avenue,Exit,january,405872
Monumento,Entry,january,1612120
Monumento,Exit,january,1786361
Balintawak,Entry,january,558327
Balintawak,Exit,january,317751
Roosevelt,Entry,january,872785
Roosevelt,Exit,january,726796
Baclaran,Entry,february,1005682
Baclaran,Exit,february,910434
EDSA,Entry,february,1752654
EDSA,Exit,february,1875046
Libertad,Entry,february,396501
Libertad,Exit,february,437280
Gil Puyat,Entry,february,1075337
Gil Puyat,Exit,february,1317049
Vito Cruz,Entry,february,528442
Vito Cruz,Exit,february,551119
Quirino,Entry,february,411177
Quirino,Exit,february,411555
Pedro Gil,Entry,february,790158
Pedro Gil,Exit,february,785476
United Nation,Entry,february,936632
United Nation,Exit,february,1000077
Central,Entry,february,575683
Central,Exit,february,650628
Carriedo,Entry,february,859149
Carriedo,Exit,february,957631
Doroteo Jose,Entry,february,872405
Doroteo Jose,Exit,february,836321
Bambang,Entry,february,214500
Bambang,Exit,february,169148
Tayuman,Entry,february,524741
Tayuman,Exit,february,432554
Blumentritt,Entry,february,383259
Blumentritt,Exit,february,344865
Abad Santos,Entry,february,232402
Abad Santos,Exit,february,158411
R. Papa,Entry,february,221193
R. Papa,Exit,february,254122
5th Avenue,Entry,february,538202
5th Avenue,Exit,february,369262
Monumento,Entry,february,1455897
Monumento,Exit,february,1613271
Balintawak,Entry,february,506995
Balintawak,Exit,february,299168
Roosevelt,Entry,february,778604
Roosevelt,Exit,february,677054
Baclaran,Entry,march,1098040
Baclaran,Exit,march,1001965
EDSA,Entry,march,1794745
EDSA,Exit,march,1925426
Libertad,Entry,march,422535
Libertad,Exit,march,460864
Gil Puyat,Entry,march,1143458
Gil Puyat,Exit,march,1424705
Vito Cruz,Entry,march,544545
Vito Cruz,Exit,march,556536
Quirino,Entry,march,427750
Quirino,Exit,march,426927
Pedro Gil,Entry,march,802722
Pedro Gil,Exit,march,799147
United Nation,Entry,march,894879
United Nation,Exit,march,974972
Central,Entry,march,556445
Central,Exit,march,636668
Carriedo,Entry,march,890513
Carriedo,Exit,march,986810
Doroteo Jose,Entry,march,900130
Doroteo Jose,Exit,march,876542
Bambang,Entry,march,214167
Bambang,Exit,march,173230
Tayuman,Entry,march,546443
Tayuman,Exit,march,445577
Blumentritt,Entry,march,400174
Blumentritt,Exit,march,358348
Abad Santos,Entry,march,239105
Abad Santos,Exit,march,161840
R. Papa,Entry,march,234393
R. Papa,Exit,march,266854
5th Avenue,Entry,march,568449
5th Avenue,Exit,march,385926
Monumento,Entry,march,1555715
Monumento,Exit,march,1709605
Balintawak,Entry,march,553080
Balintawak,Exit,march,323688
Roosevelt,Entry,march,856468
